# Hebrew Wordnet	heb	http://cl.haifa.ac.il/projects/mwn/index.shtml	wordnet
00001740-n	lemma	יֵשׁוּת
00001740-n	def	כל דבר שיש לו קיום
00002137-n	lemma	הַפְשָׁטָה
00002137-n	def	מושג כללי שמגיעים אליו על ידי הכללה מדברים קונקרטיים
00002684-n	lemma	אוֹבְּיֶקְט
00002684-n	lemma	חֵפֶץ
00002684-n	def	דבר בעל מהות פיזית, שניתן לחוש בו
00003431-v	lemma	גִּהֵק
00003431-v	def	הוציא גזים מהקיבה דרך הפה; "בסין זה נחשב מנומס לגהק בשעת הארוחה"
00003553-n	lemma	מִכְלוֹל
00003553-n	def	אוסף של חלקים שמתייחסים אליהם כאל ישות אחת; "מה גודלו של חלק זה ביחס למכלול?"
00003826-v	lemma	שִׁהֵק
00003826-v	def	השמיע קול אופייני להתכווצות לא רצונית של הסרעפת עקב בעיות עיכול או שיכרות; "כשאתה מתחיל לשהק, תשתה כוס מים, וזה יעבור"
00004227-v	lemma	נָפַח
00004227-v	lemma	נָשַׁף
00004227-v	def	הוציא אוויר דרך הפה או האף; "קח נשימה עמוקה ונשוף את כל האוויר החוצה"
00004475-n	lemma	חַי
00004475-n	def	כל ישות שיש בה רוח (בעלי חיים ובני אדם), בניגוד לצומח ולדומם
00004819-v	lemma	הִתְעַטֵּשׁ
00004819-v	def	הוציא אויר בפתאומיות מן האף והפה, כמו בעת הצטננות או גירוי באף
00005041-v	lemma	שָׁאַף
00005041-v	def	הכניס אוויר לריאות; "בזמן ביצוע תרגילי התעמלות, יש להקפיד לשאוף ולנשוף בזמן"
00005815-v	lemma	הִשְׁתַּעֵל
00005815-v	def	הוציא אויר מהריאות בקול ובמהירות, כמו בזמן הצטננות או דלקת גרון
00006032-a	lemma	יַחֲסִי
00006032-a	def	שאיננו מוחלט
00006269-n	lemma	חַיִּים
00006269-n	def	יצורים חיים באופן כללי; "האוקינוס שורץ חיים"
00006484-n	lemma	תָּא
00006484-n	def	היחידה המבנית והתפקודית הבסיסית של כל היצורים החיים; תאים יכולים להתקיים באופן עצמאי, כחלק ממושבה, או במסגרת רקמות של צמחים ובעלי חיים מסדר אבולוציוני גבוה יותר
00007015-r	lemma	כְּ
00007015-r	lemma	לְעֵרֶךְ
00007015-r	lemma	בְּעֶרֶךְ
00007015-r	lemma	פָּחוֹת-אוֹ-יוֹתֵר
00007015-r	def	באופן לא מדויק, אך כמעט נכון; "הוא צריך להיות בן 40 בערך, למרות שהוא נראה צעיר בהרבה"
00007347-n	lemma	יֵשׁוּת-גּוֹרֶמֶת
00007347-n	def	באופן מופשט, כל דבר בעולם המהווה סיבה לדברים אחרים
00007846-n	lemma	מִישֶׁהוּ
00007846-n	lemma	אָדָם
00007846-n	lemma	אִישׁ
00007846-n	def	"מישהו דופק בדלת"; "זה היה יותר מדי עבודה לאדם אחד"
00008007-r	lemma	לְגַמְרֵי
00008007-r	lemma	לַחֲלוּטִין
00008007-r	def	באופן מוחלט, ללא שיור; "אתה צודק לחלוטין, אין טעם להתווכח"
00008600-r	lemma	רַק
00008600-r	lemma	בִּלְבַד
00008600-r	def	באופן בלעדי, בלי שאחרים מעורבים בכך; "בזמנו תרגמתי בשביל הרבה חברות, היום אני עובד עבור חברה אחת בלבד"
00011093-r	lemma	הֵיטֵב
00011093-r	lemma	טוֹב
00011093-r	def	באופן משביע רצון, בצורה טובה; "לא ישנתי כל כך טוב הלילה"; "נאומו היה מנוסח היטב"
00012362-a	lemma	מֻשָּׂגִי
00012362-a	lemma	קוֹנְסֶפְּטוּאָלִי
00012362-a	def	שייך למושגים או לעיצובם, או מאופיין על ידם; "הסכיזופרן מאבד את היכולת לחשיבה קונספטואלית או מופשטת"
00012932-a	lemma	!רַעְיוֹנִי
00013160-a	lemma	מוּחָשׁ
00013160-a	lemma	מוּחָשִׁי
00013160-a	lemma	קוֹנְקְרֶטִי
00013160-a	def	שניתן לתפסו בחושים; שאינו מופשט או דמיוני; "הצגת הדברים באופן כזה, נתנה ביטוי מוחשי לכל רגשותיהם העצורים"
00013887-a	lemma	שׁוֹפֵעַ
00013887-a	def	שקיים בכמות גדולה; "היה לו חוש הומור שופע ונדיר"
00014034-v	lemma	!רָעַד
00015303-v	lemma	הִתְנַמְנֵם
00015303-v	lemma	נִמְנֵם
00015303-v	def	ישן שינה קלה או לפרק זמן קצר; "אני לא ממש ישנתי, רק נימנמתי לי מעט"
00015388-n	lemma	בַּעַל-חַיִּים
00015388-n	lemma	חַיָּה
00015388-n	def	יצור חי המתאפיין ביכולת תנועה עצמאית
00015471-r	lemma	מֵאָה-אָחוּז
00015471-r	def	באופן מספק; "אל תדאג, בסוף היא תסדר מאה אחוז"
00017031-v	lemma	נָחַר
00017031-v	def	השמיע נחירות במהלך השינה
00017222-n	lemma	צֶמַח
00017222-n	def	אורגניזם חי הגדל באדמה ומקבל את מזונו ממנה; חסר יכולת תנועה רצונית
00017639-r	lemma	אֲפִלּוּ
00017639-r	lemma	אַף
