# plWordNet	pol	http://plwordnet.pwr.wroc.pl/wordnet/	wordnet
00004475-n	lemma	egzemplarz
00004475-n	lemma	indywiduum
00004475-n	lemma	organizm
00004475-n	lemma	jednostka
00004475-n	lemma	osobnik
00005787-n	lemma	bentos
00006024-n	lemma	heterotrof
00006484-n	lemma	komórka
00007846-n	lemma	istota ludzka
00007846-n	lemma	osoba
00007846-n	lemma	człowiek
00007846-n	lemma	jednostka
00015388-n	lemma	zwierzę
00017222-n	lemma	roślina
00019613-n	lemma	substancja
00020827-n	lemma	materia
00021265-n	lemma	pożywienie
00021265-n	lemma	żywność
00021265-n	lemma	pokarm
00021265-n	lemma	jedzenie
00021265-n	lemma	coś na ząb
00021939-n	lemma	przedmiot
00023271-n	lemma	wiedza
00027167-n	lemma	przestrzeń
00028270-n	lemma	czas
00029378-n	lemma	historia
00029378-n	lemma	wydarzenie
00029378-n	lemma	zdarzenie
00029378-n	lemma	wypadek
00029677-n	lemma	proces
00031264-n	lemma	grupa
00031264-n	lemma	zbiór
00034213-n	lemma	zjawisko
00034213-n	lemma	fenomen
00035697-n	lemma	agon
00038573-n	lemma	ślepy zaułek
00038573-n	lemma	ślepy tor
00038573-n	lemma	ślepa uliczka
00060548-n	lemma	hidżra
00060548-n	lemma	hedżra
00062133-n	lemma	orgazm
00073177-n	lemma	zaokrąglenie
00076196-n	lemma	niezręczność
00076196-n	lemma	niedelikatność
00076196-n	lemma	nietakt
00076196-n	lemma	uchybienie
00076196-n	lemma	gafa
00093006-n	lemma	kapitalizacja
00095121-n	lemma	pokuta
00099588-n	lemma	improwizacja
00099951-n	lemma	sztuczka
00102374-n	lemma	jam session
00102374-n	lemma	jam-session
00118733-n	lemma	torsje
00118733-n	lemma	wymioty
00166552-n	lemma	roszada
00167063-n	lemma	wymiana
00167446-n	lemma	szach
00167580-n	lemma	okryty szach
00167764-n	lemma	szach i mat
00167764-n	lemma	mat
00167764-n	lemma	szach-mat
00167950-n	lemma	gambit
00185778-n	lemma	cesarka
00185778-n	lemma	cesarskie cięcie
00190931-n	lemma	rosyjska ruletka
00195569-n	lemma	dywersyfikacja
00206302-n	lemma	proskrypcja
00230324-n	lemma	spędzenie płodu
00230324-n	lemma	aborcja
00230324-n	lemma	przerwanie ciąży
00230324-n	lemma	skrobanka
00240184-n	lemma	inicjacja
00241699-n	lemma	start
00243373-n	lemma	inauguracja
00254922-n	lemma	tonsura
00255450-n	lemma	ablucja
00264775-n	lemma	humanizacja
00271636-n	lemma	dehumanizacja
00285141-n	lemma	lunatyzm
00285141-n	lemma	noktambulizm
00285141-n	lemma	somnambulizm
00295172-n	lemma	runda
00298161-n	lemma	turystyka
00298351-n	lemma	ekoturystyka
00301192-n	lemma	lot
00303221-n	lemma	baloniarstwo
00303495-n	lemma	szybownictwo
00303748-n	lemma	lotniarstwo
00303849-n	lemma	skoki spadochronowe
00304349-n	lemma	paralotniarstwo
00311809-n	lemma	wycieczka
00311809-n	lemma	wyprawa
